NARA Name,Type,Date,Images,First Image
"USS SAUFLEY - War Diary, 2/1-28/45",War Diary,19450201,12,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1477_200343/images/0313.jpg
"USS SAUFLEY - Rep of ops in the invasion of Basilan Is, Philippines on 3/16/45",After Action,19450316,9,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1498_200314/images/0135.jpg
"USS SAUFLEY - Rep of shore bombardment & A/S act in Ormoc Bay, Leyte Is, Philippines, night of 11/27-28/44",After Action,19441127,6,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1465_200311/images/0878.jpg
"USS SAUFLEY - Rep of ops in support of the invaison of Zamboanga Peninsula, Mindanao Is, Philippines 3/10-16/45",After Action,19450310,11,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1515_200296/images/0418.jpg
"USS SAUFLEY - War Diary, 10/1-31/45",War Diary,19451001,6,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0001/A_1986/A_1986/images/0258.jpg
"USS SAUFLEY - War Diary, 9/1-30/45",War Diary,19450901,6,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0001/A_1961/A_1961/images/0601.jpg
"USS SAUFLEY - Rep Of Action, 8/23/43",After Action,19430823,2,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_0516/images/0966.jpg
"USS SAUFLEY - Rep Of Action, 8/31/43",After Action,19430831,3,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_0516/images/0970.jpg
"USS SAUFLEY - Rep Of Action, 8/26/43",After Action,19430826,2,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_0516/images/0975.jpg
"USS SAUFLEY - Rep Of AA Action, 8/15/43",After Action,19430815,2,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_0516/images/0957.jpg
"USS SAUFLEY - War Diary, 6/1-30/43",War Diary,19430601,34,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_0479/images/0879.jpg
USS SAUFLEY - War History,War History,19460000,15,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0001/A_2089/A_2089/images/0055.jpg
"USS SAUFLEY - War Diary, 8/1-31/45",War Diary,19450801,7,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0001/A_1896/A_1896/images/0157.jpg
"USS SAUFLEY - War Diary, 7/1-31/45",War Diary,19450701,11,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0001/A_1796/A_1796/images/0577.jpg
"USS SAUFLEY - War Diary, 10/1-31/43",War Diary,19431001,33,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0006/41e51d1b-923f-42d6-825a-a9fe3ceaf72f/export_WWII_WarDiaries_0665_170169/images/0542.jpg
"USS SAUFLEY - War Diary, 8/1-31/43",War Diary,19430801,36,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0006/5fefb150-ba94-4390-ba5d-11772a17d6bd/export_WWII_WarDiaries_0543_169325/images/1043.jpg
"USS SAUFLEY - War Diary, 5/1-31/43",War Diary,19430501,34,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0005/cfbaf8ee-9b67-4468-b300-da37fe421d13/export_WWII_WarDiaries_0391_167373/images/0672.jpg
"USS SAUFLEY - War Diary, 3/1-31/43",War Diary,19430301,40,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0005/90db84e3-49b4-474c-9a32-47bb0f8d266d/export_WWII_WarDiaries_0363_166082/images/0418.jpg
"USS SAUFLEY - War Diary, 4/1-30/43",War Diary,19430401,32,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0005/71b80040-a459-437e-98c4-b78a869ec314/export_WWII_WarDiaries_0339_165016/images/0425.jpg
"USS SAUFLEY - War Diary, 2/1-28/43",War Diary,19430201,13,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0005/71759fcb-70b4-456a-aa27-064a5b6628d5/export_WWII_WarDiaries_0284_164071/images/1030.jpg
"USS SAUFLEY - War Diary, 1/1-31/43",War Diary,19430101,11,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0005/c3c15a01-ffe9-4561-9f64-22c525576da7/export_WWII_WarDiaries_0248_167359/images/0087.jpg
"USS SAUFLEY - War Diary, 12/1-31/42",War Diary,19421201,32,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0005/b7db54c9-de6f-426f-8683-c45c22d1d8e1/export_WWII_WarDiaries_0188_163421/images/0635.jpg
"USS SAUFLEY - War Diary, 10/1-31/44",War Diary,19441001,5,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_1290/images/0309.jpg
"USS SAUFLEY - War Diary, 9/1-30/44",War Diary,19440901,1,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_1228/A_1228/images/0119.jpg
"USS SAUFLEY - War Diary, 8/1-31/44",War Diary,19440801,9,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_1129/A_1129/images/0923.jpg
"USS SAUFLEY - War Diary, 7/1-31/44",War Diary,19440701,17,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_1097/images/0888.jpg
"USS SAUFLEY - War Diary, 6/1-30/44",War Diary,19440601,10,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_1055/images/1168.jpg
"USS SAUFLEY - War Diary, 5/1-31/44",War Diary,19440501,7,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_1038/images/0744.jpg
"USS SAUFLEY - War Diary, 4/1-30/44",War Diary,19440401,5,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_0957/A_0957/images/0833.jpg
"USS SAUFLEY - War Diary, 3/1-31/44",War Diary,19440301,9,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_0917/A_0917/images/0256.jpg
"USS SAUFLEY - War Diary, 2/1-29/44",War Diary,19440201,5,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_0869_Redelivery/A_0869/images/0090.jpg
"USS SAUFLEY - War Diary, 1/1-31/44",War Diary,19440101,8,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_0827_Redelivery/A_0827/images/0439.jpg
"USS SAUFLEY - War Diary, 12/1-31/43",War Diary,19431201,5,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_0775_Redelivery/A_0775/images/0519.jpg
"USS SAUFLEY - War Diary, 11/1-30/43",War Diary,19431101,32,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_0757_Redelivery/A_0757/images/0115.jpg
"USS SAUFLEY - War Diary, 9/1-30/43",War Diary,19430901,30,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_0590/images/0799.jpg
"USS SAUFLEY - War Diary, 11/1-30/45",War Diary,19451101,4,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_2003_216991/images/0200.jpg
"USS SAUFLEY - War Diary, 5/1-31/45",War Diary,19450501,6,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1635_201346/images/0539.jpg
"USS SAUFLEY - War Diary, 4/1-30/45",War Diary,19450401,7,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1593_200938/images/0390.jpg
"USS SAUFLEY - War Diary, 3/1-31/45",War Diary,19450301,11,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1518_200302/images/0424.jpg
"USS SAUFLEY - War Diary, 6/1-30/45",War Diary,19450601,10,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0003/200279/A_1762/A_1762/images/0184.jpg
"USS SAUFLEY - War Diary, 1/1-31/45",War Diary,19450101,10,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1398_200139/images/0612.jpg
"USS SAUFLEY - War Diary, 12/1-31/44",War Diary,19441201,5,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1360_200106/images/0460.jpg
"USS SAUFLEY - War Diary, 11/1-30/44",War Diary,19441101,10,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1308_198883/images/0141.jpg
USS SAUFLEY - Rep Of Act During period of 8/16-19/43,After Action,19430816,3,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_0516/images/0961.jpg
"USS SAUFLEY - Bombardment of Munda, 7/12/43 with Task Force 19",After Action,19430712,2,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_0439/A_0439/images/1353.jpg
"USS SAUFLEY - Action Report, initial landing on Treasury Is, 10/27/43",After Action,19431027,2,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0006/16461cc8-9d06-4795-8712-ac5bb695ba85/export_WWII_WarDiaries_0643_170814/images/0873.jpg
"USS SAUFLEY - A/S Act Rep, 9/15/43, Occup Of Vella Lavella",After Action,19430915,14,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0006/5fefb150-ba94-4390-ba5d-11772a17d6bd/export_WWII_WarDiaries_0548_169286/images/0785.jpg
"USS SAUFLEY - AA Act Rep, 11/17/43, Empress Augusta Bay Area",After Action,19431117,3,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0005/fd546055-827e-4253-8894-a2864567fb17/export_WWII_WarDiaries_0679_170032/images/0960.jpg
"USS SAUFLEY - War Diary, 7/1-31/43 (Action Reports)",War Diary,19430701,39,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0005/80dd94bc-ec17-4ffe-a5a3-7613491dac10/export_WWII_WarDiaries_0463_167650/images/0481.jpg
"USS SAUFLEY - Act Rep, Surface & Air, off Kolombangara Is K 7/18/43",After Action,19430718,3,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0005/80dd94bc-ec17-4ffe-a5a3-7613491dac10/export_WWII_WarDiaries_0437_167415/images/0004.jpg
"USS SAUFLEY - War Diary, 8/29/42 to 11/30/42",War Diary,19420829,5,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_1121/images/0174.jpg
"USS SAUFLEY - Rep of opers in support of the assault landings at Balipapan, Borneo, 7/1-19/45",After Action,19450701,4,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0001/A_Splicing_Reel_03/A_Splicing_Reel_03/images/0009.jpg
"USS SAUFLEY - Rep of AA Act in Leyte Gulf, Philippines on 11/24/44",After Action,19441124,3,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_1291/images/0711.jpg
"USS SAUFLEY - Rep of AA Act in Leyte Gulf, Philippines on 11/27/44",After Action,19441127,6,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_1291/images/0716.jpg
"USS SAUFLEY - Rep of AA Act in Leyte Gulf, Philippines on 11/29/44",After Action,19441129,9,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_1291/images/0724.jpg
"USS SAUFLEY - Rep of AA Act in Surigao Straits, Phillipines on 11/24/44",After Action,19441124,3,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_1291/images/0736.jpg
"USS SAUFLEY - Rep of Bombardments & Harassing Fire Missions Against Tinian Is During the Period 7/16-20/44, Marianas",After Action,19440716,18,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_1141/A_1141/images/1012.jpg
"USS SAUFLEY - Report of Bombardments and Starshell Illumination of Tinian Island, Marianas - Period 7/27/44 to 8/5/44",After Action,19440727,16,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_1131/A_1131/images/0969.jpg
"USS SAUFLEY - Report of Operations, Period 6/11/44 to 7/9/44-Invasion of Saipan Island, Marianas",After Action,19440611,17,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_1085/images/0876.jpg
"USS SAUFLEY - AA Act Reps, 6/17,18,19 & 26/44, off Saipan Island, Marianas",After Action,19440617,13,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_1063/images/0706.jpg
"USS SAUFLEY - Report of Bombardment of New Ireland Areas, Night of 2/29/44-3/1/44",After Action,19440229,8,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0000/A_0854/A_0854/images/0827.jpg
"USS SAUFLEY - Rep of opers in support of the assault landings at Balipapan, Borneo, 7/1-19/45",After Action,19450701,40,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0003/200279/A_1764/A_1764/images/0902.jpg
"USS SAUFLEY - Rep of AA acts Off West coast of Luzon Is, Philippines on 1/8, 10 & 12/45",After Action,19450108,13,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1362_200123/images/0065.jpg
"USS SAUFLEY - Summary Rep of enemy air attacks off Green Island, night of 2/14-15/44",After Action,19440214,3,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0002/A_1830/A_1830/images/0711.jpg
"USS SAUFLEY - Report of action & destruction of Jap ""Q"" boat & bombardment of San Diego Point, Nasugbu Bay, Luzon Island, Philippines on 2/1/45",After Action,19450201,7,https://catalog.archives.gov/catalogmedia/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1408_200161/images/0566.jpg
